yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin
1990,5,20,,,4,12,LOWER,AM,,,242,3,240
1990,5,20,,,4,12,LOWER,AM,,,247,9,245
1990,5,20,,,4,12,LOWER,AM,,,252,19,250
1990,5,20,,,4,12,LOWER,AM,,,257,20,255
1990,5,20,,,4,12,LOWER,AM,,,262,15,260
1990,5,20,,,4,12,LOWER,AM,,,267,16,265
1990,5,20,,,4,12,LOWER,AM,,,272,19,270
1990,5,20,,,4,12,LOWER,AM,,,277,15,275
1990,5,20,,,4,12,LOWER,AM,,,282,14,280
1990,5,20,,,4,12,LOWER,AM,,,287,10,285
1990,5,20,,,4,12,LOWER,AM,,,292,7,290
1990,5,20,,,4,12,LOWER,AM,,,297,1,295
1990,5,21,,,4,9,LOWER,AM,,,243,1,240
1990,5,21,,,4,9,LOWER,AM,,,245,2,245
1990,5,21,,,4,9,LOWER,AM,,,248,3,245
1990,5,21,,,4,9,LOWER,AM,,,250,7,250
1990,5,21,,,4,9,LOWER,AM,,,253,1,250
1990,5,21,,,4,9,LOWER,AM,,,255,8,255
1990,5,21,,,4,9,LOWER,AM,,,258,16,255
1990,5,21,,,4,9,LOWER,AM,,,260,6,260
1990,5,21,,,4,9,LOWER,AM,,,263,20,260
1990,5,21,,,4,9,LOWER,AM,,,265,11,265
1990,5,21,,,4,9,LOWER,AM,,,268,11,265
1990,5,21,,,4,9,LOWER,AM,,,270,10,270
1990,5,21,,,4,9,LOWER,AM,,,273,17,270
1990,5,21,,,4,9,LOWER,AM,,,275,6,275
1990,5,21,,,4,9,LOWER,AM,,,278,16,275
1990,5,21,,,4,9,LOWER,AM,,,280,6,280
1990,5,21,,,4,9,LOWER,AM,,,283,7,280
1990,5,21,,,4,9,LOWER,AM,,,285,8,285
1990,5,21,,,4,9,LOWER,AM,,,288,7,285
1990,5,21,,,4,9,LOWER,AM,,,290,2,290
1990,5,21,,,4,9,LOWER,AM,,,293,17,290
1990,5,21,,,4,9,LOWER,AM,,,295,2,295
1990,5,21,,,4,9,LOWER,AM,,,298,8,295
1990,5,21,,,4,9,LOWER,AM,,,300,5,300
1990,5,21,,,4,9,LOWER,AM,,,303,3,300
1990,5,21,,,4,9,LOWER,AM,,,308,1,305
1990,5,21,,,4,9,LOWER,AM,,,310,1,310
1990,5,21,,,4,64,UPPER,PM,,,242,12,240
1990,5,21,,,4,64,UPPER,PM,,,247,15,245
1990,5,21,,,4,64,UPPER,PM,,,252,25,250
1990,5,21,,,4,64,UPPER,PM,,,257,32,255
1990,5,21,,,4,64,UPPER,PM,,,262,27,260
1990,5,21,,,4,64,UPPER,PM,,,267,16,265
1990,5,21,,,4,64,UPPER,PM,,,272,16,270
1990,5,21,,,4,64,UPPER,PM,,,277,19,275
1990,5,21,,,4,64,UPPER,PM,,,282,13,280
1990,5,21,,,4,64,UPPER,PM,,,287,13,285
1990,5,21,,,4,64,UPPER,PM,,,292,11,290
1990,5,21,,,4,64,UPPER,PM,,,297,3,295
1990,5,21,,,4,64,UPPER,PM,,,302,3,300
1990,5,21,,,4,64,UPPER,PM,,,307,1,305
1990,5,21,,,4,64,UPPER,PM,,,312,1,310
1990,5,23,,,4,5,LOWER,AM,,,240,1,240
1990,5,23,,,4,5,LOWER,AM,,,245,1,245
1990,5,23,,,4,5,LOWER,AM,,,248,4,245
1990,5,23,,,4,5,LOWER,AM,,,250,12,250
1990,5,23,,,4,5,LOWER,AM,,,253,11,250
1990,5,23,,,4,5,LOWER,AM,,,255,3,255
1990,5,23,,,4,5,LOWER,AM,,,258,6,255
1990,5,23,,,4,5,LOWER,AM,,,260,11,260
1990,5,23,,,4,5,LOWER,AM,,,263,17,260
1990,5,23,,,4,5,LOWER,AM,,,265,11,265
1990,5,23,,,4,5,LOWER,AM,,,268,3,265
1990,5,23,,,4,5,LOWER,AM,,,270,21,270
1990,5,23,,,4,5,LOWER,AM,,,273,8,270
1990,5,23,,,4,5,LOWER,AM,,,275,9,275
1990,5,23,,,4,5,LOWER,AM,,,278,11,275
1990,5,23,,,4,5,LOWER,AM,,,280,23,280
1990,5,23,,,4,5,LOWER,AM,,,283,3,280
1990,5,23,,,4,5,LOWER,AM,,,285,21,285
