"id","old_id"
38566,"2001061448"
38567,"2001061449"
38568,"2001061451"
38569,"2001061502"
38570,"2001061512"
38571,"2001061515"
38572,"2001061517"
38573,"2001061526"
38574,"2001061534"
38575,"2001061538"
38576,"2001061541"
38577,"2001061548"
38578,"2001061549"
38579,"2001061602"
38580,"2001061612"
38581,"2001061615"
38582,"2001061617"
38583,"2001061634"
38584,"2001061638"
38585,"2001061641"
38586,"2001061648"
38587,"2001061649"
38588,"2001062034"
38589,"2001062038"
38590,"2001062041"
38591,"2001062051"
38592,"2001062126"
38593,"2001062134"
38594,"2001062138"
38595,"2001062141"
38596,"2001062151"
38597,"2001062234"
38598,"2001062238"
38599,"2001062241"
38600,"2001062341"
38601,"2001062741"
38602,"2001062841"
38603,"2001062941"
38604,"2002050102"
38605,"2002050105"
38606,"2002050115"
38607,"2002050117"
38608,"2002050125"
38609,"2002050202"
38610,"2002050205"
38611,"2002050212"
38612,"2002050215"
38613,"2002050217"
38614,"2002050225"
38615,"2002050302"
38616,"2002050305"
38617,"2002050312"
38618,"2002050315"
38619,"2002050317"
38620,"2002050325"
38621,"2002050341"
38622,"2002050348"
38623,"2002050402"
38624,"2002050405"
38625,"2002050412"
38626,"2002050415"
38627,"2002050417"
38628,"2002050425"
38629,"2002050426"
38630,"2002050432"
38631,"2002050441"
38632,"2002050448"
38633,"2002050802"
38634,"2002050805"
38635,"2002050812"
38636,"2002050815"
38637,"2002050817"
38638,"2002050825"
38639,"2002050826"
38640,"2002050832"
38641,"2002050834"
38642,"2002050841"
38643,"2002050847"
38644,"2002050848"
38645,"2002050849"
38646,"2002050864"
38647,"2002050902"
38648,"2002050905"
38649,"2002050912"
38650,"2002050915"
38651,"2002050917"
38652,"2002050925"
38653,"2002050926"
38654,"2002050932"
38655,"2002050934"
38656,"2002050935"
38657,"2002050941"
38658,"2002050947"
38659,"2002050948"
38660,"2002050949"
38661,"2002050962"
38662,"2002050964"
38663,"2002051002"
38664,"2002051005"
38665,"2002051012"
38666,"2002051015"
38667,"2002051017"
38668,"2002051025"
38669,"2002051026"
38670,"2002051032"
38671,"2002051034"
38672,"2002051035"
38673,"2002051041"
38674,"2002051047"
38675,"2002051048"
38676,"2002051049"
38677,"2002051062"
38678,"2002051064"
38679,"2002051102"
38680,"2002051105"
38681,"2002051112"
38682,"2002051115"
38683,"2002051117"
38684,"2002051125"
38685,"2002051126"
38686,"2002051132"
38687,"2002051134"
38688,"2002051135"
38689,"2002051141"
38690,"2002051147"
38691,"2002051148"
38692,"2002051149"
38693,"2002051162"
38694,"2002051164"
38695,"2002051502"
38696,"2002051505"
38697,"2002051512"
38698,"2002051515"
38699,"2002051517"
38700,"2002051525"
38701,"2002051526"
38702,"2002051532"
38703,"2002051534"
38704,"2002051535"
38705,"2002051538"
38706,"2002051541"
38707,"2002051547"
38708,"2002051548"
38709,"2002051549"
38710,"2002051562"
38711,"2002051564"
38712,"2002051602"
38713,"2002051605"
38714,"2002051612"
38715,"2002051615"
38716,"2002051617"
38717,"2002051625"
38718,"2002051626"
38719,"2002051632"
38720,"2002051634"
38721,"2002051635"
38722,"2002051638"
38723,"2002051641"
38724,"2002051647"
38725,"2002051648"
38726,"2002051649"
38727,"2002051651"
38728,"2002051662"
38729,"2002051664"
38730,"2002051702"
38731,"2002051705"
38732,"2002051712"
38733,"2002051715"
38734,"2002051717"
38735,"2002051725"
38736,"2002051726"
38737,"2002051732"
38738,"2002051734"
38739,"2002051735"
38740,"2002051738"
38741,"2002051741"
38742,"2002051747"
38743,"2002051748"
38744,"2002051749"
38745,"2002051751"
38746,"2002051762"
38747,"2002051764"
38748,"2002051802"
38749,"2002051805"
38750,"2002051812"
38751,"2002051815"
38752,"2002051817"
38753,"2002051825"
38754,"2002051826"
38755,"2002051832"
38756,"2002051834"
38757,"2002051835"
38758,"2002051838"
38759,"2002051841"
38760,"2002051847"
38761,"2002051848"
38762,"2002051849"
38763,"2002051851"
38764,"2002051862"
38765,"2002051864"
38766,"2002052202"
38767,"2002052205"
38768,"2002052212"
38769,"2002052215"
38770,"2002052217"
38771,"2002052225"
38772,"2002052226"
38773,"2002052232"
38774,"2002052234"
38775,"2002052235"
38776,"2002052238"
