,count,length_bin_id,sample_id
3986,17,28.5,2000051026
3987,5,29.0,2000051026
3988,1,29.5,2000051026
3989,1,30.0,2000051026
3990,1,30.5,2000051026
3991,1,23.5,2000051064
3992,3,24.0,2000051064
3993,4,24.5,2000051064
3994,15,25.0,2000051064
3995,23,25.5,2000051064
3996,38,26.0,2000051064
3997,51,26.5,2000051064
3998,66,27.0,2000051064
3999,47,27.5,2000051064
4000,33,28.0,2000051064
4001,15,28.5,2000051064
4002,13,29.0,2000051064
4003,2,29.5,2000051064
4004,2,30.0,2000051064
4005,2,24.0,2000051126
4006,3,24.5,2000051126
4007,11,25.0,2000051126
4008,25,25.5,2000051126
4009,45,26.0,2000051126
4010,49,26.5,2000051126
4011,45,27.0,2000051126
4012,45,27.5,2000051126
4013,38,28.0,2000051126
4014,19,28.5,2000051126
4015,12,29.0,2000051126
4016,2,29.5,2000051126
4017,3,23.5,2000051164
4018,7,24.0,2000051164
4019,12,24.5,2000051164
4020,18,25.0,2000051164
4021,27,25.5,2000051164
4022,49,26.0,2000051164
4023,46,26.5,2000051164
4024,52,27.0,2000051164
4025,38,27.5,2000051164
4026,34,28.0,2000051164
4027,11,28.5,2000051164
4028,6,29.0,2000051164
4029,1,29.5,2000051164
4030,4,23.5,2000051241
4031,9,24.0,2000051241
4032,7,24.5,2000051241
4033,24,25.0,2000051241
4034,33,25.5,2000051241
4035,41,26.0,2000051241
4036,50,26.5,2000051241
4037,47,27.0,2000051241
4038,37,27.5,2000051241
4039,29,28.0,2000051241
4040,13,28.5,2000051241
4041,5,29.0,2000051241
4042,1,23.0,2000051326
4043,3,23.5,2000051326
4044,4,24.0,2000051326
4045,11,24.5,2000051326
4046,22,25.0,2000051326
4047,33,25.5,2000051326
4048,59,26.0,2000051326
4049,47,26.5,2000051326
4050,57,27.0,2000051326
4051,43,27.5,2000051326
4052,19,28.0,2000051326
4053,14,28.5,2000051326
4054,4,29.0,2000051326
4055,2,29.5,2000051326
4056,4,23.5,2000051364
4057,5,24.0,2000051364
4058,7,24.5,2000051364
4059,11,25.0,2000051364
4060,27,25.5,2000051364
4061,28,26.0,2000051364
4062,36,26.5,2000051364
4063,27,27.0,2000051364
4064,29,27.5,2000051364
4065,19,28.0,2000051364
4066,9,28.5,2000051364
4067,3,29.0,2000051364
4068,1,29.5,2000051364
4069,1,22.5,2000051705
4070,4,23.0,2000051705
4071,6,23.5,2000051705
4072,16,24.0,2000051705
4073,27,24.5,2000051705
4074,28,25.0,2000051705
4075,24,25.5,2000051705
4076,48,26.0,2000051705
4077,48,26.5,2000051705
4078,39,27.0,2000051705
4079,21,27.5,2000051705
4080,25,28.0,2000051705
4081,7,28.5,2000051705
4082,3,29.0,2000051705
4083,4,29.5,2000051705
4084,1,30.0,2000051705
4085,1,22.5,2000051726
4086,8,23.5,2000051726
4087,9,24.0,2000051726
4088,13,24.5,2000051726
4089,19,25.0,2000051726
4090,33,25.5,2000051726
4091,44,26.0,2000051726
4092,39,26.5,2000051726
4093,55,27.0,2000051726
4094,36,27.5,2000051726
4095,20,28.0,2000051726
4096,11,28.5,2000051726
4097,5,29.0,2000051726
4098,2,29.5,2000051726
4099,9,23.5,2000051805
4100,16,24.0,2000051805
4101,30,24.5,2000051805
4102,36,25.0,2000051805
4103,37,25.5,2000051805
4104,39,26.0,2000051805
4105,35,26.5,2000051805
4106,40,27.0,2000051805
4107,22,27.5,2000051805
4108,24,28.0,2000051805
4109,14,28.5,2000051805
4110,2,29.0,2000051805
4111,1,29.5,2000051805
4112,1,21.5,2000051826
4113,1,22.5,2000051826
4114,2,23.0,2000051826
4115,14,23.5,2000051826
4116,13,24.0,2000051826
4117,17,24.5,2000051826
4118,26,25.0,2000051826
4119,35,25.5,2000051826
4120,54,26.0,2000051826
4121,51,26.5,2000051826
4122,38,27.0,2000051826
4123,22,27.5,2000051826
4124,16,28.0,2000051826
4125,7,28.5,2000051826
4126,6,29.0,2000051826
4127,2,29.5,2000051826
4128,3,23.0,2000051838
4129,7,23.5,2000051838
4130,10,24.0,2000051838
4131,16,24.5,2000051838
4132,30,25.0,2000051838
4133,37,25.5,2000051838
4134,46,26.0,2000051838
4135,48,26.5,2000051838
4136,40,27.0,2000051838
4137,28,27.5,2000051838
4138,19,28.0,2000051838
4139,11,28.5,2000051838
4140,4,29.0,2000051838
4141,1,22.5,2000051926
4142,4,23.0,2000051926
4143,11,23.5,2000051926
4144,16,24.0,2000051926
4145,17,24.5,2000051926
4146,33,25.0,2000051926
4147,26,25.5,2000051926
4148,34,26.0,2000051926
4149,20,26.5,2000051926
4150,24,27.0,2000051926
4151,16,27.5,2000051926
4152,6,28.0,2000051926
4153,5,28.5,2000051926
4154,3,29.5,2000051926
4155,1,22.5,2000051938
4156,3,23.0,2000051938
4157,16,23.5,2000051938
4158,23,24.0,2000051938
4159,22,24.5,2000051938
4160,28,25.0,2000051938
4161,39,25.5,2000051938
4162,50,26.0,2000051938
4163,40,26.5,2000051938
4164,37,27.0,2000051938
4165,24,27.5,2000051938
4166,22,28.0,2000051938
4167,8,28.5,2000051938
4168,1,29.5,2000051938
4169,1,30.0,2000051938
4170,2,22.5,2000052026
4171,1,23.0,2000052026
4172,6,23.5,2000052026
4173,25,24.0,2000052026
4174,43,24.5,2000052026
4175,42,25.0,2000052026
