yy,mm,dd,Time,river,week,site,loc,period,wt_lbs,wt_kg,lgth,freq,Flbin,DATETIME,SITE1,SITE2,SITE3,id,length_bin_id,FLAG_SITE,FLAG_PERIOD,FLAG_AM_PM_PERIOD_DISCREPANCIES
1990,5,11,,,2,34,UPPER,AM,,,303,4,300,1990-05-11 00:00:00,34,,,1990051134,30.0,,,
1990,5,11,,,2,34,UPPER,AM,,,305,4,305,1990-05-11 00:00:00,34,,,1990051134,30.5,,,
1990,5,11,,,2,34,UPPER,AM,,,308,1,305,1990-05-11 00:00:00,34,,,1990051134,30.5,,,
1990,5,11,,,2,34,UPPER,AM,,,310,1,310,1990-05-11 00:00:00,34,,,1990051134,31.0,,,
1990,5,11,,,2,34,UPPER,AM,,,313,2,310,1990-05-11 00:00:00,34,,,1990051134,31.0,,,
1990,5,11,,,2,34,UPPER,AM,,,315,1,315,1990-05-11 00:00:00,34,,,1990051134,31.5,,,
1990,5,11,,,2,34,UPPER,AM,,,320,1,320,1990-05-11 00:00:00,34,,,1990051134,32.0,,,
1990,5,11,,,2,4,LOWER,PM,,,248,2,245,1990-05-11 00:00:00,4,,,1990051104,24.5,,,
1990,5,11,,,2,4,LOWER,PM,,,250,2,250,1990-05-11 00:00:00,4,,,1990051104,25.0,,,
1990,5,11,,,2,4,LOWER,PM,,,253,1,250,1990-05-11 00:00:00,4,,,1990051104,25.0,,,
1990,5,11,,,2,4,LOWER,PM,,,255,4,255,1990-05-11 00:00:00,4,,,1990051104,25.5,,,
1990,5,11,,,2,4,LOWER,PM,,,258,6,255,1990-05-11 00:00:00,4,,,1990051104,25.5,,,
1990,5,11,,,2,4,LOWER,PM,,,260,8,260,1990-05-11 00:00:00,4,,,1990051104,26.0,,,
1990,5,11,,,2,4,LOWER,PM,,,263,6,260,1990-05-11 00:00:00,4,,,1990051104,26.0,,,
1990,5,11,,,2,4,LOWER,PM,,,265,8,265,1990-05-11 00:00:00,4,,,1990051104,26.5,,,
1990,5,11,,,2,4,LOWER,PM,,,268,4,265,1990-05-11 00:00:00,4,,,1990051104,26.5,,,
1990,5,11,,,2,4,LOWER,PM,,,270,12,270,1990-05-11 00:00:00,4,,,1990051104,27.0,,,
1990,5,11,,,2,4,LOWER,PM,,,273,5,270,1990-05-11 00:00:00,4,,,1990051104,27.0,,,
1990,5,11,,,2,4,LOWER,PM,,,275,9,275,1990-05-11 00:00:00,4,,,1990051104,27.5,,,
1990,5,11,,,2,4,LOWER,PM,,,278,13,275,1990-05-11 00:00:00,4,,,1990051104,27.5,,,
1990,5,11,,,2,4,LOWER,PM,,,280,11,280,1990-05-11 00:00:00,4,,,1990051104,28.0,,,
1990,5,11,,,2,4,LOWER,PM,,,283,6,280,1990-05-11 00:00:00,4,,,1990051104,28.0,,,
1990,5,11,,,2,4,LOWER,PM,,,285,18,285,1990-05-11 00:00:00,4,,,1990051104,28.5,,,
1990,5,11,,,2,4,LOWER,PM,,,288,7,285,1990-05-11 00:00:00,4,,,1990051104,28.5,,,
1990,5,11,,,2,4,LOWER,PM,,,290,7,290,1990-05-11 00:00:00,4,,,1990051104,29.0,,,
1990,5,11,,,2,4,LOWER,PM,,,293,15,290,1990-05-11 00:00:00,4,,,1990051104,29.0,,,
1990,5,11,,,2,4,LOWER,PM,,,295,6,295,1990-05-11 00:00:00,4,,,1990051104,29.5,,,
1990,5,11,,,2,4,LOWER,PM,,,298,7,295,1990-05-11 00:00:00,4,,,1990051104,29.5,,,
1990,5,11,,,2,4,LOWER,PM,,,300,4,300,1990-05-11 00:00:00,4,,,1990051104,30.0,,,
1990,5,11,,,2,4,LOWER,PM,,,303,6,300,1990-05-11 00:00:00,4,,,1990051104,30.0,,,
1990,5,11,,,2,4,LOWER,PM,,,310,1,310,1990-05-11 00:00:00,4,,,1990051104,31.0,,,
1990,5,11,,,2,4,LOWER,PM,,,313,1,310,1990-05-11 00:00:00,4,,,1990051104,31.0,,,
1990,5,12,,,2,56,UPPER,PM,,,248,1,245,1990-05-12 00:00:00,56,,,1990051256,24.5,,,
1990,5,12,,,2,56,UPPER,PM,,,250,4,250,1990-05-12 00:00:00,56,,,1990051256,25.0,,,
1990,5,12,,,2,56,UPPER,PM,,,253,3,250,1990-05-12 00:00:00,56,,,1990051256,25.0,,,
1990,5,12,,,2,56,UPPER,PM,,,255,5,255,1990-05-12 00:00:00,56,,,1990051256,25.5,,,
1990,5,12,,,2,56,UPPER,PM,,,258,1,255,1990-05-12 00:00:00,56,,,1990051256,25.5,,,
1990,5,12,,,2,56,UPPER,PM,,,260,6,260,1990-05-12 00:00:00,56,,,1990051256,26.0,,,
1990,5,12,,,2,56,UPPER,PM,,,263,2,260,1990-05-12 00:00:00,56,,,1990051256,26.0,,,
1990,5,12,,,2,56,UPPER,PM,,,265,12,265,1990-05-12 00:00:00,56,,,1990051256,26.5,,,
1990,5,12,,,2,56,UPPER,PM,,,268,3,265,1990-05-12 00:00:00,56,,,1990051256,26.5,,,
1990,5,12,,,2,56,UPPER,PM,,,270,12,270,1990-05-12 00:00:00,56,,,1990051256,27.0,,,
1990,5,12,,,2,56,UPPER,PM,,,273,4,270,1990-05-12 00:00:00,56,,,1990051256,27.0,,,
1990,5,12,,,2,56,UPPER,PM,,,275,25,275,1990-05-12 00:00:00,56,,,1990051256,27.5,,,
1990,5,12,,,2,56,UPPER,PM,,,278,17,275,1990-05-12 00:00:00,56,,,1990051256,27.5,,,
1990,5,12,,,2,56,UPPER,PM,,,280,20,280,1990-05-12 00:00:00,56,,,1990051256,28.0,,,
1990,5,12,,,2,56,UPPER,PM,,,283,7,280,1990-05-12 00:00:00,56,,,1990051256,28.0,,,
1990,5,12,,,2,56,UPPER,PM,,,285,28,285,1990-05-12 00:00:00,56,,,1990051256,28.5,,,
1990,5,12,,,2,56,UPPER,PM,,,288,7,285,1990-05-12 00:00:00,56,,,1990051256,28.5,,,
1990,5,12,,,2,56,UPPER,PM,,,290,16,290,1990-05-12 00:00:00,56,,,1990051256,29.0,,,
1990,5,12,,,2,56,UPPER,PM,,,293,11,290,1990-05-12 00:00:00,56,,,1990051256,29.0,,,
1990,5,12,,,2,56,UPPER,PM,,,295,9,295,1990-05-12 00:00:00,56,,,1990051256,29.5,,,
1990,5,12,,,2,56,UPPER,PM,,,298,5,295,1990-05-12 00:00:00,56,,,1990051256,29.5,,,
1990,5,12,,,2,56,UPPER,PM,,,300,8,300,1990-05-12 00:00:00,56,,,1990051256,30.0,,,
1990,5,12,,,2,56,UPPER,PM,,,303,2,300,1990-05-12 00:00:00,56,,,1990051256,30.0,,,
1990,5,12,,,2,56,UPPER,PM,,,305,4,305,1990-05-12 00:00:00,56,,,1990051256,30.5,,,
1990,5,12,,,2,56,UPPER,PM,,,310,2,310,1990-05-12 00:00:00,56,,,1990051256,31.0,,,
1990,5,14,,,3,23,LOWER,AM,,,232,1,230,1990-05-14 00:00:00,23,,,1990051423,23.0,,,
1990,5,14,,,3,23,LOWER,AM,,,237,1,235,1990-05-14 00:00:00,23,,,1990051423,23.5,,,
1990,5,14,,,3,23,LOWER,AM,,,242,6,240,1990-05-14 00:00:00,23,,,1990051423,24.0,,,
1990,5,14,,,3,23,LOWER,AM,,,247,20,245,1990-05-14 00:00:00,23,,,1990051423,24.5,,,
1990,5,14,,,3,23,LOWER,AM,,,252,21,250,1990-05-14 00:00:00,23,,,1990051423,25.0,,,
1990,5,14,,,3,23,LOWER,AM,,,257,30,255,1990-05-14 00:00:00,23,,,1990051423,25.5,,,
1990,5,14,,,3,23,LOWER,AM,,,262,17,260,1990-05-14 00:00:00,23,,,1990051423,26.0,,,
1990,5,14,,,3,23,LOWER,AM,,,267,19,265,1990-05-14 00:00:00,23,,,1990051423,26.5,,,
1990,5,14,,,3,23,LOWER,AM,,,272,18,270,1990-05-14 00:00:00,23,,,1990051423,27.0,,,
1990,5,14,,,3,23,LOWER,AM,,,277,9,275,1990-05-14 00:00:00,23,,,1990051423,27.5,,,
1990,5,14,,,3,23,LOWER,AM,,,282,17,280,1990-05-14 00:00:00,23,,,1990051423,28.0,,,
1990,5,14,,,3,23,LOWER,AM,,,287,9,285,1990-05-14 00:00:00,23,,,1990051423,28.5,,,
1990,5,14,,,3,23,LOWER,AM,,,292,5,290,1990-05-14 00:00:00,23,,,1990051423,29.0,,,
1990,5,14,,,3,23,LOWER,AM,,,297,3,295,1990-05-14 00:00:00,23,,,1990051423,29.5,,,
1990,5,14,,,3,23,LOWER,AM,,,302,1,300,1990-05-14 00:00:00,23,,,1990051423,30.0,,,
1990,5,14,,,3,67,UPPER,PM,,,242,4,240,1990-05-14 00:00:00,67,,,1990051467,24.0,,,
1990,5,14,,,3,67,UPPER,PM,,,247,17,245,1990-05-14 00:00:00,67,,,1990051467,24.5,,,
1990,5,14,,,3,67,UPPER,PM,,,252,34,250,1990-05-14 00:00:00,67,,,1990051467,25.0,,,
1990,5,14,,,3,67,UPPER,PM,,,257,29,255,1990-05-14 00:00:00,67,,,1990051467,25.5,,,
1990,5,14,,,3,67,UPPER,PM,,,262,18,260,1990-05-14 00:00:00,67,,,1990051467,26.0,,,
1990,5,14,,,3,67,UPPER,PM,,,267,30,265,1990-05-14 00:00:00,67,,,1990051467,26.5,,,
1990,5,14,,,3,67,UPPER,PM,,,272,19,270,1990-05-14 00:00:00,67,,,1990051467,27.0,,,
1990,5,14,,,3,67,UPPER,PM,,,277,19,275,1990-05-14 00:00:00,67,,,1990051467,27.5,,,
1990,5,14,,,3,67,UPPER,PM,,,282,18,280,1990-05-14 00:00:00,67,,,1990051467,28.0,,,
