,sample_id,length_bin_id,count
9426,2016060741,22.5,8
9427,2016060741,23.0,25
9428,2016060741,23.5,49
9429,2016060741,24.0,65
9430,2016060741,24.5,36
9431,2016060741,25.0,27
9432,2016060741,25.5,22
9433,2016060741,26.0,5
9434,2016060741,26.5,3
9435,2016060915,21.5,1
9436,2016060915,22.0,1
9437,2016060915,22.5,9
9438,2016060915,23.0,26
9439,2016060915,23.5,38
9440,2016060915,24.0,68
9441,2016060915,24.5,47
9442,2016060915,25.0,24
9443,2016060915,25.5,12
9444,2016060915,26.0,2
9445,2016060915,26.5,3
9446,2016060947,21.5,2
9447,2016060947,22.0,3
9448,2016060947,22.5,9
9449,2016060947,23.0,22
9450,2016060947,23.5,60
9451,2016060947,24.0,63
9452,2016060947,24.5,48
9453,2016060947,25.0,34
9454,2016060947,25.5,12
9455,2016060947,26.0,6
9456,2016060947,26.5,2
9457,2016060947,27.5,1
9458,2016061026,21.0,1
9459,2016061026,22.0,3
9460,2016061026,22.5,9
9461,2016061026,23.0,27
9462,2016061026,23.5,58
9463,2016061026,24.0,56
9464,2016061026,24.5,51
9465,2016061026,25.0,25
9466,2016061026,25.5,13
9467,2016061026,26.0,3
9468,2016061400,20.5,1
9469,2016061400,21.0,1
9470,2016061400,21.5,2
9471,2016061400,22.0,9
9472,2016061400,22.5,22
9473,2016061400,23.0,33
9474,2016061400,23.5,57
9475,2016061400,24.0,39
9476,2016061400,24.5,38
9477,2016061400,25.0,23
9478,2016061400,25.5,13
9479,2016061412,21.0,2
9480,2016061412,21.5,6
9481,2016061412,22.0,6
9482,2016061412,22.5,15
9483,2016061412,23.0,25
9484,2016061412,23.5,50
9485,2016061412,24.0,56
9486,2016061412,24.5,43
9487,2016061412,25.0,28
9488,2016061412,25.5,8
9489,2016061412,26.0,4
9490,2016061412,26.5,2
9491,2016061412,27.0,1
9492,2016061425,20.5,1
9493,2016061425,21.0,2
9494,2016061425,21.5,7
9495,2016061425,22.0,8
9496,2016061425,22.5,19
9497,2016061425,23.0,40
9498,2016061425,23.5,44
9499,2016061425,24.0,49
9500,2016061425,24.5,37
9501,2016061425,25.0,25
9502,2016061425,25.5,7
9503,2016061425,26.0,2
9504,2016061425,26.5,2
9505,2016061625,21.5,2
9506,2016061625,22.0,9
9507,2016061625,22.5,15
9508,2016061625,23.0,24
9509,2016061625,23.5,39
9510,2016061625,24.0,48
9511,2016061625,24.5,48
9512,2016061625,25.0,22
9513,2016061625,25.5,11
9514,2016061625,26.0,2
9515,2016061625,26.5,2
9516,2016061625,27.0,3
9517,2016061641,21.0,1
9518,2016061641,21.5,1
9519,2016061641,22.0,3
9520,2016061641,22.5,13
9521,2016061641,23.0,35
9522,2016061641,23.5,42
9523,2016061641,24.0,47
9524,2016061641,24.5,42
9525,2016061641,25.0,26
9526,2016061641,25.5,9
9527,2016061641,26.0,4
9528,2016061641,26.5,2
9529,2016062100,20.5,3
9530,2016062100,21.0,10
9531,2016062100,21.5,15
9532,2016062100,22.0,18
9533,2016062100,22.5,23
9534,2016062100,23.0,26
9535,2016062100,23.5,37
9536,2016062100,24.0,38
9537,2016062100,24.5,33
9538,2016062100,25.0,14
9539,2016062100,25.5,14
9540,2016062100,26.0,4
9541,2016062100,26.5,1
9542,2016062100,27.0,1
9543,2016062125,20.5,1
9544,2016062125,21.0,3
9545,2016062125,21.5,14
9546,2016062125,22.0,25
9547,2016062125,22.5,27
9548,2016062125,23.0,31
9549,2016062125,23.5,43
9550,2016062125,24.0,34
9551,2016062125,24.5,35
9552,2016062125,25.0,24
9553,2016062125,25.5,14
9554,2016062125,26.0,1
9555,2016062125,26.5,3
9556,2016062125,27.0,1
9557,2016062141,20.5,4
9558,2016062141,21.0,8
9559,2016062141,21.5,17
9560,2016062141,22.0,17
9561,2016062141,22.5,27
9562,2016062141,23.0,39
9563,2016062141,23.5,40
9564,2016062141,24.0,47
9565,2016062141,24.5,25
9566,2016062141,25.0,21
9567,2016062141,25.5,9
9568,2016062141,26.0,5
9569,2016062141,26.5,1
9570,2016062141,27.0,2
9571,2016062415,20.0,1
9572,2016062415,21.0,2
9573,2016062415,21.5,2
9574,2016062415,22.0,10
9575,2016062415,22.5,9
9576,2016062415,23.0,28
9577,2016062415,23.5,26
9578,2016062415,24.0,44
9579,2016062415,24.5,31
9580,2016062415,25.0,26
9581,2016062415,25.5,12
9582,2016062415,26.0,8
9583,2016062415,26.5,2
9584,2016062426,20.0,1
9585,2016062426,20.5,1
9586,2016062426,21.0,5
9587,2016062426,21.5,14
9588,2016062426,22.0,12
9589,2016062426,22.5,19
9590,2016062426,23.0,31
9591,2016062426,23.5,27
9592,2016062426,24.0,43
9593,2016062426,24.5,38
9594,2016062426,25.0,20
9595,2016062426,25.5,7
9596,2016062426,26.0,4
9597,2016062426,26.5,2
9598,2016062426,27.0,1
9599,2016062426,27.5,1
9600,2016062447,21.0,4
9601,2016062447,21.5,6
9602,2016062447,22.0,10
9603,2016062447,22.5,16
9604,2016062447,23.0,30
9605,2016062447,23.5,44
9606,2016062447,24.0,45
9607,2016062447,24.5,37
9608,2016062447,25.0,20
9609,2016062447,25.5,13
9610,2016062447,26.0,7
9611,2016062447,26.5,2
9612,2016062925,21.0,2
9613,2016062925,21.5,3
9614,2016062925,22.0,9
9615,2016062925,22.5,24
9616,2016062925,23.0,25
9617,2016062925,23.5,38
9618,2016062925,24.0,55
9619,2016062925,24.5,33
9620,2016062925,25.0,26
9621,2016062925,25.5,8
9622,2016062925,26.0,6
9623,2016062925,26.5,6
9624,2016062925,27.0,1
9625,2016062925,27.5,1
9626,2016062941,20.5,2
9627,2016062941,21.0,12
9628,2016062941,21.5,13
9629,2016062941,22.0,18
9630,2016062941,22.5,21
9631,2016062941,23.0,31
9632,2016062941,23.5,33
9633,2016062941,24.0,43
9634,2016062941,24.5,27
9635,2016062941,25.0,15
9636,2016062941,25.5,6
9637,2016062941,26.0,4
9638,2016062941,26.5,1
9639,2017051825,21.0,1
9640,2017051825,22.0,3
9641,2017051825,22.5,7
9642,2017051825,23.0,26
9643,2017051825,23.5,35
9644,2017051825,24.0,50
9645,2017051825,24.5,34
9646,2017051825,25.0,22
9647,2017051825,25.5,6
9648,2017051825,26.0,5
9649,2017051825,26.5,1
9650,2017051825,27.0,2
9651,2017051825,27.5,1
9652,2017051841,22.0,7
9653,2017051841,22.5,12
9654,2017051841,23.0,22
9655,2017051841,23.5,50
9656,2017051841,24.0,43
9657,2017051841,24.5,41
9658,2017051841,25.0,20
9659,2017051841,25.5,15
9660,2017051841,26.0,5
9661,2017051841,26.5,5
9662,2017052026,22.0,1
9663,2017052026,22.5,21
9664,2017052026,23.0,34
9665,2017052026,23.5,50
9666,2017052026,24.0,40
9667,2017052026,24.5,25
9668,2017052026,25.0,22
9669,2017052026,25.5,10
9670,2017052026,26.0,6
9671,2017052026,26.5,1
9672,2017052026,27.5,1
9673,2017052062,21.5,1
9674,2017052062,22.0,6
9675,2017052062,22.5,12
9676,2017052062,23.0,42
9677,2017052062,23.5,52
9678,2017052062,24.0,41
9679,2017052062,24.5,31
9680,2017052062,25.0,19
9681,2017052062,25.5,5
9682,2017052062,26.0,6
9683,2017052062,26.5,2
9684,2017052062,27.0,1
9685,2017052062,27.5,1
9686,2017052325,22.0,4
9687,2017052325,22.5,13
9688,2017052325,23.0,25
9689,2017052325,23.5,41
9690,2017052325,24.0,47
9691,2017052325,24.5,33
9692,2017052325,25.0,22
9693,2017052325,25.5,8
9694,2017052325,26.0,7
9695,2017052325,26.5,5
9696,2017052325,27.5,1
9697,2017052341,22.0,5
9698,2017052341,22.5,11
9699,2017052341,23.0,29
9700,2017052341,23.5,57
9701,2017052341,24.0,47
9702,2017052341,24.5,21
9703,2017052341,25.0,21
9704,2017052341,25.5,13
9705,2017052341,26.0,3
9706,2017052341,26.5,3
9707,2017052341,27.0,1
9708,2017052712,22.5,18
9709,2017052712,23.0,35
9710,2017052712,23.5,47
9711,2017052712,24.0,53
9712,2017052712,24.5,33
9713,2017052712,25.0,23
9714,2017052712,25.5,8
9715,2017052712,26.0,4
9716,2017052712,26.5,3
9717,2017052712,27.0,2
9718,2017052747,22.0,2
9719,2017052747,22.5,10
9720,2017052747,23.0,44
9721,2017052747,23.5,50
9722,2017052747,24.0,58
9723,2017052747,24.5,40
9724,2017052747,25.0,14
9725,2017052747,25.5,12
9726,2017052747,26.0,5
9727,2017052747,26.5,4
9728,2017052747,27.0,1
9729,2017052762,22.0,1
9730,2017052762,22.5,11
9731,2017052762,23.0,38
9732,2017052762,23.5,44
9733,2017052762,24.0,68
9734,2017052762,24.5,33
9735,2017052762,25.0,22
9736,2017052762,25.5,7
9737,2017052762,26.0,5
9738,2017052762,26.5,3
9739,2017052762,27.0,1
9740,2017053026,21.5,1
9741,2017053026,22.0,13
9742,2017053026,22.5,27
9743,2017053026,23.0,49
9744,2017053026,23.5,65
9745,2017053026,24.0,47
9746,2017053026,24.5,16
9747,2017053026,25.0,8
9748,2017053026,25.5,9
9749,2017053026,26.5,1
9750,2017053092,21.5,1
9751,2017053092,22.0,7
9752,2017053092,22.5,19
9753,2017053092,23.0,44
9754,2017053092,23.5,59
9755,2017053092,24.0,48
9756,2017053092,24.5,26
9757,2017053092,25.0,15
9758,2017053092,25.5,7
9759,2017053092,26.0,2
9760,2017053141,22.0,6
9761,2017053141,22.5,19
9762,2017053141,23.0,48
9763,2017053141,23.5,61
9764,2017053141,24.0,54
9765,2017053141,24.5,24
9766,2017053141,25.0,21
9767,2017053141,25.5,6
9768,2017053141,26.0,1
9769,2017060212,22.5,53
9770,2017060212,23.0,66
9771,2017060212,23.5,51
9772,2017060212,24.0,30
9773,2017060212,24.5,23
9774,2017060212,25.0,5
9775,2017060212,25.5,2
9776,2017060212,26.0,2
9777,2017060241,21.5,1
9778,2017060241,22.0,8
9779,2017060241,22.5,13
9780,2017060241,23.0,48
9781,2017060241,23.5,56
9782,2017060241,24.0,48
9783,2017060241,24.5,21
9784,2017060241,25.0,8
9785,2017060241,25.5,1
9786,2017060241,26.0,1
9787,2017060262,22.0,4
9788,2017060262,22.5,28
9789,2017060262,23.0,44
9790,2017060262,23.5,53
9791,2017060262,24.0,45
9792,2017060262,24.5,30
9793,2017060262,25.0,11
9794,2017060262,25.5,7
9795,2017060262,26.0,1
9796,2017060625,22.0,3
9797,2017060625,22.5,19
9798,2017060625,23.0,35
9799,2017060625,23.5,58
9800,2017060625,24.0,40
9801,2017060625,24.5,29
9802,2017060625,25.0,17
9803,2017060625,25.5,9
9804,2017060625,26.0,7
9805,2017060692,22.0,11
9806,2017060692,22.5,39
9807,2017060692,23.0,49
9808,2017060692,23.5,47
9809,2017060692,24.0,40
9810,2017060692,24.5,27
9811,2017060692,25.0,11
9812,2017060692,25.5,6
9813,2017060692,26.0,3
9814,2017060812,22.0,3
9815,2017060812,22.5,20
9816,2017060812,23.0,44
9817,2017060812,23.5,57
9818,2017060812,24.0,53
9819,2017060812,24.5,30
9820,2017060812,25.0,22
9821,2017060812,25.5,7
9822,2017060812,26.0,2
9823,2017060812,26.5,1
9824,2017060812,27.0,2
9825,2017060847,22.0,7
9826,2017060847,22.5,19
9827,2017060847,23.0,54
9828,2017060847,23.5,57
9829,2017060847,24.0,40
9830,2017060847,24.5,21
9831,2017060847,25.0,14
9832,2017060847,25.5,9
9833,2017060847,26.0,3
9834,2017060847,26.5,1
9835,2017060847,27.0,1
9836,2017061362,20.5,1
9837,2017061362,21.0,7
9838,2017061362,21.5,6
9839,2017061362,22.0,16
9840,2017061362,22.5,37
9841,2017061362,23.0,55
9842,2017061362,23.5,47
9843,2017061362,24.0,18
9844,2017061362,24.5,19
9845,2017061362,25.0,12
9846,2017061362,25.5,5
9847,2017061362,26.0,1
9848,2017061362,26.5,1
9849,2017061425,21.0,5
9850,2017061425,21.5,8
9851,2017061425,22.0,17
9852,2017061425,22.5,32
9853,2017061425,23.0,35
9854,2017061425,23.5,30
9855,2017061425,24.0,38
9856,2017061425,24.5,23
9857,2017061425,25.0,17
9858,2017061425,25.5,12
9859,2017061425,26.0,4
9860,2017061425,26.5,2
9861,2017061425,27.0,1
9862,2017061726,20.0,1
9863,2017061726,21.0,3
9864,2017061726,21.5,4
9865,2017061726,22.0,22
9866,2017061726,22.5,25
9867,2017061726,23.0,49
9868,2017061726,23.5,39
9869,2017061726,24.0,27
9870,2017061726,24.5,33
9871,2017061726,25.0,15
9872,2017061726,25.5,4
9873,2017061726,26.0,2
9874,2017062112,21.0,3
9875,2017062112,21.5,1
9876,2017062112,22.0,8
